sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse,run
traj1659_snap47,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.063096046447754,1.2570085525512695,0.0083986446261405,2.3787221908569336,3.219238519668579,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1717_snap6,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.90413498878479,1.2472234964370728,0.011316368356347,2.404674530029297,3.213583707809448,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1691_snap5,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.338092088699341,1.2600581645965576,0.0097709139809012,2.479986429214477,3.20778489112854,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1672_snap19,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.014986991882324,1.243139386177063,0.0082048457115888,2.3948237895965576,3.2178876399993896,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1672_snap22,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.0450127124786377,1.2537171840667725,0.0076983268372714,2.4155609607696533,3.1822166442871094,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1650_snap15,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,2.956582546234131,1.2402560710906982,0.0078564630821347,2.3894972801208496,3.1750800609588623,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1713_snap12,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,4.9788899421691895,1.2712724208831787,0.0149781582877039,2.4510140419006348,3.290936231613159,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1651_snap33,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,4.965764999389648,1.2699798345565796,0.0167877469211816,2.485083103179932,3.229825496673584,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1627_snap36,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.174421548843384,1.2425479888916016,0.0094209471717476,2.474383592605591,3.198736906051636,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1676_snap25,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.00777530670166,1.2454595565795898,0.009061056189239,2.431305170059204,3.1796059608459477,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1655_snap39,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,2.5006556510925293,1.231123685836792,0.0062761036679148,2.343618631362915,3.164811372756958,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1625_snap39,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,4.125606536865234,1.2659865617752075,0.0116476668044924,2.493051767349243,3.2211697101593018,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1613_snap25,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,2.9385740756988525,1.252747654914856,0.0082289651036262,2.3659582138061523,3.2213451862335205,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1655_snap41,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,2.51577377319336,1.2373849153518677,0.0062016430310904,2.3460614681243896,3.1393611431121826,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1673_snap4,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,5.0165300369262695,1.2844629287719729,0.016280049458146,2.5116844177246094,3.240626573562622,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1639_snap41,0,ddrm,ddrm,0,0,0.0,0.85,0.05,blur,0.0,3.846841096878052,1.2554268836975098,0.0112789627164602,2.508009433746338,3.1538147926330566,runs_ddrm_colab/ddrm_blur_eta0p85_n16_steps128_sigma4p0
traj1659_snap47,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.641896724700928,1.084160089492798,0.0067318258807063,0.0163438953459262,3.8644700050354,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1717_snap6,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,3.464467287063598,1.1067663431167605,0.0085666663944721,0.0175985023379325,3.923456907272339,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1691_snap5,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.872943162918091,1.0844744443893433,0.0075117121450603,0.015003421343863,3.883925199508667,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1672_snap19,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.619067907333374,1.079893946647644,0.006041063927114,0.0189599264413118,3.837191820144653,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1672_snap22,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.637364864349365,1.0858771800994873,0.0060052005574107,0.0199408568441867,3.8480684757232666,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1650_snap15,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.5822503566741943,1.083227515220642,0.005976756568998,0.0191306117922067,3.850271224975586,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1713_snap12,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,4.342529296875,1.1087887287139893,0.0104630328714847,0.0161975771188735,3.94511079788208,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1651_snap33,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,4.3544135093688965,1.1136285066604614,0.0127324778586626,0.0206225458532571,3.960425853729248,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1627_snap36,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.759117603302002,1.079987645149231,0.0069113038480281,0.0151762990280985,3.870142698287964,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1676_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.5971157550811768,1.0754135847091677,0.0067068268544971,0.018586192280054,3.853294134140015,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1655_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.1629388332366943,1.0648589134216309,0.0048423297703266,0.0189219247549772,3.763366460800171,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1625_snap39,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,3.549849510192871,1.0893093347549438,0.0084471432492136,0.0177545696496963,3.876170873641968,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1613_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.5253615379333496,1.0765904188156128,0.0064664734527468,0.0162854548543691,3.772754669189453,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1655_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,2.169275999069214,1.0669597387313845,0.0047668707557022,0.0164010487496852,3.754885673522949,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1673_snap4,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,4.2967047691345215,1.1001545190811155,0.0115013550966978,0.0205762088298797,3.9148428440094,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
traj1639_snap41,0,ddrm,ddrm_physics,0,1,0.0,0.85,0.05,blur,0.0,3.357682943344116,1.0957887172698977,0.0084015633910894,0.018168980255723,3.849893093109131,runs_ddrm_colab/ddrm_phys_blur_eta0p85_n16_steps128_sigma4p0
